id,block_number,tkn_pair,oracle_price,time
193943,7537432,tBTC/USD,10339311691864,1747250793
193680,7536030,tBTC/USD,10286001064877,1747233037
193664,7535846,tBTC/USD,10349337737046,1747230681
193622,7535626,tBTC/USD,10411138695280,1747227874
193501,7534901,tBTC/USD,10349965999145,1747218634
193498,7534882,tBTC/USD,10283083592503,1747218394
193496,7534854,tBTC/USD,10365096217352,1747218039
193476,7534516,tBTC/USD,10303879088695,1747213644
193425,7534436,tBTC/USD,10359543904630,1747212631
193386,7534275,tBTC/USD,10303418599680,1747210605
193367,7534209,tBTC/USD,10401817930834,1747209755
193338,7533906,tBTC/USD,10317118981721,1747205908
193267,7533385,tBTC/USD,10372041231570,1747199430
193234,7533109,tBTC/USD,10310178171042,1747195961
193201,7532928,tBTC/USD,10305980700792,1747193671
193191,7532869,tBTC/USD,10362462541434,1747192953
193171,7532821,tBTC/USD,10297675075645,1747192354
193152,7532705,tBTC/USD,10356976332968,1747190909
193150,7532647,tBTC/USD,10301386566776,1747190196
193145,7532600,tBTC/USD,10372725381328,1747189595
193141,7532565,tBTC/USD,10321064872224,1747189161
193140,7532555,tBTC/USD,10260162661660,1747189042
193089,7532485,tBTC/USD,10376040349686,1747188170
193082,7532432,tBTC/USD,10463404175931,1747187481
192902,7531682,tBTC/USD,10370266738292,1747177958
192709,7530828,tBTC/USD,10422679064952,1747167193
192680,7530732,tBTC/USD,10526443186610,1747166002
192384,7529777,tBTC/USD,10398902371679,1747154076
192311,7529195,tBTC/USD,10341539556530,1747146752
192300,7529139,tBTC/USD,10284235664669,1747146040
192033,7528058,tBTC/USD,10340379299556,1747132469
191809,7527147,tBTC/USD,10287662780563,1747121077
191688,7526341,tBTC/USD,10219404641817,1747110993
191655,7526224,tBTC/USD,10165618189293,1747109559
191277,7525714,tBTC/USD,10166218110708,1747103092
190999,7525115,tBTC/USD,10237565123357,1747095517
190930,7524910,tBTC/USD,10294050311798,1747092988
190800,7524089,tBTC/USD,10232264070866,1747082672
190710,7523654,tBTC/USD,10174447015321,1747077285
190692,7523620,tBTC/USD,10109669346656,1747076854
190680,7523590,tBTC/USD,10161313686517,1747076489
190660,7523562,tBTC/USD,10055997883527,1747076135
190648,7523541,tBTC/USD,10180398040819,1747075882
190637,7523509,tBTC/USD,10103954598095,1747075483
190587,7523455,tBTC/USD,10169521516366,1747074782
190578,7523414,tBTC/USD,10224236947068,1747074275
190571,7523367,tBTC/USD,10164689243798,1747073723
190326,7522648,tBTC/USD,10252016317167,1747064795
190291,7522568,tBTC/USD,10319303027542,1747063761
190290,7522559,tBTC/USD,10387581304728,1747063648
190288,7522547,tBTC/USD,10259346852066,1747063488
190283,7522538,tBTC/USD,10387581304728,1747063379
190263,7522462,tBTC/USD,10259346852066,1747062453
190251,7522442,tBTC/USD,10387581304728,1747062203
190243,7522385,tBTC/USD,10318234822800,1747061502
190229,7522367,tBTC/USD,10387581304728,1747061259
190228,7522356,tBTC/USD,10318234822800,1747061136
190225,7522347,tBTC/USD,10387581304728,1747061017
190218,7522326,tBTC/USD,10257851277311,1747060771
189780,7521710,tBTC/USD,10395688542385,1747053034
189672,7521578,tBTC/USD,10338446951067,1747051355
189072,7520434,tBTC/USD,10407938954844,1747036845
189027,7520369,tBTC/USD,10483569723443,1747036058
188992,7520322,tBTC/USD,10581565883884,1747035447
188975,7520285,tBTC/USD,10447893860841,1747034961
188939,7520209,tBTC/USD,10508835587716,1747034008
188934,7520180,tBTC/USD,10443037960425,1747033643
188779,7519340,tBTC/USD,10377026593302,1747023157
188705,7519145,tBTC/USD,10409791310444,1747020749
188639,7518940,tBTC/USD,10340326802674,1747018248
188628,7518846,tBTC/USD,10412523819698,1747017032
188571,7518612,tBTC/USD,10351053774765,1747014165
188520,7518295,tBTC/USD,10426235974861,1747010198
188423,7517774,tBTC/USD,10355406762888,1747003709
188263,7516617,tBTC/USD,10408278468395,1746989197
188143,7516279,tBTC/USD,10339521453643,1746984997
188136,7516231,tBTC/USD,10400289923986,1746984393
188083,7515876,tBTC/USD,10339339004887,1746979958
188040,7515625,tBTC/USD,10420515287120,1746976836
187946,7515254,tBTC/USD,10363594584888,1746972166
187943,7515237,tBTC/USD,10446584621642,1746971947
187921,7515149,tBTC/USD,10375557381793,1746970836
187792,7514173,tBTC/USD,10428991585687,1746958594
187674,7513626,tBTC/USD,10371818001966,1746951753
187659,7513558,tBTC/USD,10318881893268,1746950915
187653,7513538,tBTC/USD,10258493536196,1746950677
187634,7513463,tBTC/USD,10330424204195,1746949760
187633,7513454,tBTC/USD,10390476465869,1746949647
187582,7513290,tBTC/USD,10328088879057,1746947602
187352,7512432,tBTC/USD,10389237844457,1746936781
187350,7512429,tBTC/USD,10366817386733,1746936759
187338,7512323,tBTC/USD,10422323269896,1746935432
187286,7512073,tBTC/USD,10341049654414,1746932321
187271,7511929,tBTC/USD,10418705027820,1746930514
187252,7511825,tBTC/USD,10357103077265,1746929194
187198,7511405,tBTC/USD,10413807213714,1746923961
187172,7511386,tBTC/USD,10287603809190,1746923726
187123,7511345,tBTC/USD,10456752174190,1746923213
187116,7511335,tBTC/USD,10515495241980,1746923092
187004,7511166,tBTC/USD,10438495844280,1746920966
186948,7511119,tBTC/USD,10380284790158,1746920382
186919,7511069,tBTC/USD,10464555816837,1746919761
186879,7511000,tBTC/USD,10393269465922,1746918880
186767,7510739,tBTC/USD,10317024003382,1746915634
186705,7510652,tBTC/USD,10370808376915,1746914570
186329,7510136,tBTC/USD,10301569914193,1746908072
186243,7510108,tBTC/USD,10358087323231,1746907729
185818,7509878,tBTC/USD,10292405664204,1746904829
185813,7509869,tBTC/USD,10344937037502,1746904718
185427,7509323,tBTC/USD,10281838494952,1746897880
185400,7509040,tBTC/USD,10340701242998,1746894321
185388,7509010,tBTC/USD,10256264440847,1746893960
185181,7508591,tBTC/USD,10325006362241,1746888646
185175,7508581,tBTC/USD,10273531968095,1746888518
