tkn_pair,oracle_price,time,id,block_number
AAVE/USD,26189409273,1748192291,210443,7640971
AAVE/USD,26323650655,1748191813,210424,7640890
AAVE/USD,26184890022,1748189771,210339,7640563
AAVE/USD,26318763098,1748189173,210327,7640467
AAVE/USD,26470733306,1748187728,210294,7640239
AAVE/USD,26329043093,1748187261,210291,7640170
AAVE/USD,26170177402,1748187134,210289,7640147
AAVE/USD,26001821085,1748186658,210283,7640071
AAVE/USD,26188124945,1748186291,210269,7640014
AAVE/USD,26341731370,1748184612,210243,7639754
AAVE/USD,26475348475,1748180653,210186,7639121
AAVE/USD,26532770890,1748177650,210141,7638652
AAVE/USD,26390238349,1748172729,210097,7637868
AAVE/USD,26530133899,1748171530,210096,7637686
AAVE/USD,26388402977,1748170571,210095,7637535
AAVE/USD,26539664628,1748168170,210066,7637166
AAVE/USD,26707052973,1748166851,210047,7636963
AAVE/USD,26559770655,1748166491,210041,7636903
AAVE/USD,26362115599,1748165290,210032,7636715
AAVE/USD,26223887330,1748164091,210028,7636522
AAVE/USD,26373588501,1748163493,210027,7636426
AAVE/USD,26240755617,1748163274,210016,7636391
AAVE/USD,26389734697,1748162650,210007,7636288
AAVE/USD,26536391269,1748159170,209925,7635721
AAVE/USD,26678973655,1748157247,209865,7635413
AAVE/USD,26820855403,1748157010,209864,7635373
AAVE/USD,26979497139,1748154966,209818,7635045
AAVE/USD,26794478412,1748153529,209811,7634814
AAVE/USD,26944381750,1748152449,209806,7634648
AAVE/USD,26803365819,1748152209,209805,7634606
AAVE/USD,26639454522,1748151969,209798,7634565
AAVE/USD,26493388917,1748151611,209797,7634508
AAVE/USD,26669726865,1748149689,209792,7634197
AAVE/USD,26528597867,1748148609,209787,7634021
AAVE/USD,26711206681,1748148009,209785,7633926
AAVE/USD,26576159076,1748146570,209783,7633691
AAVE/USD,26744148605,1748145850,209772,7633579
AAVE/USD,26953203591,1748145009,209763,7633438
AAVE/USD,26785386935,1748144650,209762,7633380
AAVE/USD,26986180192,1748144053,209758,7633286
